fspace_hash,fsspace_hash,nfeatures,features,targets
333782631,1784847680,1,{{-5.298317366548036}},{1.6125835223052494}
-337957417,287290599,10,"{{-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.284597073387866,-2.4849066497880004,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-1.7739374185600167,-0.3476424561194023}}",{3.1780538303479458}
-337957417,1048289652,13,"{{-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.210340371976182,-9.284597073387866,-2.4849066497880004,-1.460443378791355,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-15.242798338910262,-1.7739374185600167,-0.3476424561194023}}",{1.0986122886681098}
-1447599021,1949081072,2,"{{-3.146555129327789,-12.367328027087364}}",{0}
-802871442,31426380,2,"{{-13.082003775963914,-0.7175764855574894}}",{1.3862943611198906}
-488742175,-28684807,2,"{{-11.806862931584517,-9.597641509456675}}",{13.853184883769025}
-128493435,548498613,1,{{-9.210340371976182}},{3.4011973816621555}
-128493435,2095840746,1,{{-9.597641509456675}},{6.068425588244111}
-195594584,548498613,1,{{-9.210340371976182}},{3.4011973816621555}
991209701,1175990152,1,{{-13.782681534372943}},{3.7128337415816097}
-595026657,1188364940,2,"{{-1.6339169175931774,-1.0324330778364068}}",{12.596857186168387}
-337957417,-75269507,14,"{{-14.959841313840421,-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.210340371976182,-9.284597073387866,-2.4849066497880004,-1.460443378791355,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-15.242798338910262,-1.7739374185600167,-0.3476424561194023}}",{1.0986122886681098}
-595026657,-278400187,1,{{-1.3862943611198906}},{0}
-680379475,-2060581854,1,{{-11.806862931584517}},{0}
991209701,-1353918021,4,"{{-11.806862931584517,-1.018046664056702,-9.597641509456675,-12.367328027087364}}",{14.85668968917151}
-1678655183,1707971304,7,"{{-10.420568570464626,-1.3862943611198906,-0.5976602103105778,-1.9459101490553135,-1.9459101490553135,-1.3862943611198906,-9.597641509456675}}",{4.0943445622221}
-802871442,754837300,0,,{10.346083456574856}
805774395,548498613,1,{{-9.210340371976182}},{3.4011973816621555}
805774395,2095840746,1,{{-9.597641509456675}},{6.068425588244111}
-195594584,2095840746,1,{{-9.597641509456675}},{6.068425588244111}
-680379475,2145437737,1,{{-9.597641509456675}},{2.6390573296152584}
-680379475,-1316085480,2,"{{-11.806862931584517,-9.597641509456675}}",{2.6390573296152584}
-128493435,1952021877,2,"{{-9.210340371976182,-9.597641509456675}}",{9.468928284223587}
-337957417,-173523637,3,"{{-9.210340371976182,-1.460443378791355,-15.242798338910262}}",{0}
-337957417,-1689288357,16,"{{-14.959841313840421,0,-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.210340371976182,-9.284597073387866,-2.4849066497880004,-9.173327476094075,-1.460443378791355,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-15.242798338910262,-1.7739374185600167,-0.3476424561194023}}",{1.0986122886681098}
-802871442,1086514686,3,"{{-0.09412907198595906,-0.8610071948870133,-14.742975821546908}}",{0}
-195594584,1952021877,2,"{{-9.210340371976182,-9.597641509456675}}",{9.468928284223587}
991209701,-1852818771,5,"{{-15.242798338910262,-11.806862931584517,-1.018046664056702,-9.597641509456675,-12.367328027087364}}",{14.85668968917151}
-595026657,-928154234,4,"{{-1.3862943611198906,-1.6339169175931774,-1.3862943611198906,-1.0324330778364068}}",{6.682108597449809}
-195594584,-175391330,2,"{{-14.742975821546908,-0.36049219586979037}}",{0}
-195594584,1899871027,4,"{{-9.210340371976182,-14.742975821546908,-0.36049219586979037,-9.597641509456675}}",{8.971321471503682}
-595026657,1444280349,2,"{{-0.36049219586979037,-14.742975821546908}}",{0}
-595026657,1552601125,6,"{{-0.36049219586979037,-14.742975821546908,-1.3862943611198906,-1.6339169175931774,-1.3862943611198906,-1.0324330778364068}}",{6.642486801367256}
-802871442,-2009152309,16,"{{-0.09412907198595906,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.890371757896165,-0.8610071948870133,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906}}",{8.776938645174996}
-680379475,1444280349,2,"{{-1.8628594276924355,-14.742975821546908},{-10.795669153638222,-14.742975821546908},{-0.5976602103105778,-14.742975821546908}}","{0,0,0}"
-128493435,-175391330,2,"{{-14.742975821546908,-1.8628594276924355}}",{0}
-128493435,1899871027,4,"{{-9.210340371976182,-14.742975821546908,-1.8628594276924355,-9.597641509456675}}",{6.003887067106539}
-195594584,69631952,2,"{{-3.1221606722057436,-12.77974911711393}}",{0}
-802871442,-1847817727,1,{{-11.338786340583832}},{8.486527777105353}
